Capa Oculta,Error Cuadratico Medio,Bi,Tasa de Aprendizaje
8,0.915542,0,0.01
8,0.90427,0,0.03
8,0.894503,0,0.05
8,0.901623,0,0.07
8,0.90384,0,0.09
8,0.922313,0,0.11
8,0.903667,0,0.13
8,0.902887,0,0.15
8,0.903672,0,0.17
8,0.904298,0,0.19
8,0.90369,0,0.21
8,0.886519,0,0.23
8,0.903912,0,0.25
8,0.879563,0,0.27
8,0.909953,0,0.29
8,0.904455,0,0.31
8,0.901514,0,0.33
8,0.904821,0,0.35
8,0.905405,0,0.37
8,0.904579,1,0.02
8,0.903397,1,0.02
2,1.00495,1,0.2
2,0.729362,0,0.2
2,0.750891,0,0.2
4,0.74718,0,0.02
8,0.750598,0,0.02
8,0.724375,0,0.02
8,0.747327,0,0.02
2,0.754399,0,0.4
2,0.770307,0,1
2,0.771878,0,1
2,0.771759,0,1
2,0.779525,0,1
2,0.779525,0,1
2,0.779525,0,1
2,0.827986,0,1
2,0.827986,0,1
2,1.28836,0,0.25
2,0.725552,0,0.2
2,0.750723,0,0.2
2,0.742058,0,0.2
4,0.753071,0,0.02
4,0.750062,0,0.02
4,1.00025,1,0.02
4,0.757287,0,0.01
5,0.748191,0,0.01
3,0.739014,0,0.01
3,0.250016,0,0.01
3,0.25,1,0.01
3,0.250028,1,0.02
3,1.00001,0,0.02
3,0.250027,1,0.01
3,0.249982,1,0.01
3,1.0005,1,0.01
3,1.00016,1,0.01
3,1.00017,1,0.01
3,0.0099818,0,0.01
2,0.00998025,0,0.01
2,0.00998423,0,0.01
2,0.00998123,0,0.01
2,0.00998334,0,0.01
1,0.00998269,0,0.01
1,0.00998592,0,0.01
1,0.00998509,0,0.01
1,0.00998469,0,0.01
8,0.00997834,0,0.01
8,0.00998183,0,0.01
8,0.0099816,0,0.01
8,0.00998139,0,0.01
8,0.248855,0,0.01
8,0.248863,0,0.02
4,0.249912,1,0.02
4,0.24995,1,0.02
4,0.249963,1,0.02
4,0.249948,1,0.02
4,0.250058,1,0.02
4,0.117476,1,0.02
4,0.00999041,1,0.02
4,0.00999012,1,0.02
4,0.00999031,1,0.02
4,0.00999341,1,0.02
4,0.00998903,1,0.02
4,0.00996939,0,0.02
4,0.00997998,0,0.02
4,0.00996363,0,0.02
